Bucket,HVA: PIS,N:P,SHADE,Plant,Mass (g)
1,4:0,5:1,0,HVA1,0.46
1,4:0,5:1,0,HVA2,0.2
1,4:0,5:1,0,HVA3,0.43
1,4:0,5:1,0,HVA4,0.47
2,2:2,5:1,0,HVA1,0.07
2,2:2,5:1,0,HVA2,0.36
2,2:2,5:1,0,PIS1,0.05
2,2:2,5:1,0,PIS2,0.06
3,3:1,5:1,0,HVA1,0.35
3,3:1,5:1,0,HVA2,0.53
3,3:1,5:1,0,HVA3,0.32
3,3:1,5:1,0,PIS1,0.06
4,2:2,1:5,0,PIS1,0.03
4,2:2,1:5,0,PIS2,0.04
4,2:2,1:5,0,HVA1,0.3
4,2:2,1:5,0,HVA2,0.55
5,0:4,1:5,0,PLS3,0.12
5,0:4,1:5,0,PLS4,0.33
5,0:4,1:5,0,PLS2,0.26
5,0:4,1:5,0,PLS1,0.16
6,1:3,5:1,0,HVA1,0.16
6,1:3,5:1,0,PIS1,0.25
6,1:3,5:1,0,PIS2,0.03
6,1:3,5:1,0,PIS3,0.27
7,4:0,1:5,0,HVA1,0.36
7,4:0,1:5,0,HVA2,0.26
7,4:0,1:5,0,HVA3,0.41
7,4:0,1:5,0,HVA4,0.71
8,0:4,5:1,0,PIS1,0.08
8,0:4,5:1,0,PIS3,0.11
8,0:4,5:1,0,PIS4,0.11
8,0:4,5:1,0,PIS2,0.08
9,1:3,1:5,0,HVA1,0.49
9,1:3,1:5,0,PIS3,0.12
9,1:3,1:5,0,PIS1,0.14
9,1:3,1:5,0,PIS2,0.25
10,3:1,1:5,0,PIS1,0.36
10,3:1,1:5,0,HVA1,0.5
10,3:1,1:5,0,HVA2,0.32
10,3:1,1:5,0,HVA3,0.46
11,0:4,5:1,0,PIS4,0.09
11,0:4,5:1,0,PIS3,0.12
11,0:4,5:1,0,PIS2,0.1
11,0:4,5:1,0,PIS1,0.18
12,2:2,1:5,0,PIS1,0.17
12,2:2,1:5,0,PIS2,0.33
12,2:2,1:5,0,HVA1,0.48
12,2:2,1:5,0,HVA2,1.02
13,0:4,1:5,0,PIS4,0.08
13,0:4,1:5,0,PIS2,0.24
13,0:4,1:5,0,PIS1,0.05
13,0:4,1:5,0,PIS3,0.44
14,1:3,1:5,0,HVA1,0.74
14,1:3,1:5,0,PIS1,0.01
14,1:3,1:5,0,PIS3,0.3
14,1:3,1:5,0,PIS2,0.04
15,4:0,1:5,0,HVA4,0.51
15,4:0,1:5,0,HVA1,0.42
15,4:0,1:5,0,HVA2,0.28
15,4:0,1:5,0,HVA3,0.31
16,1:3,5:1,0,PIS3,0.04
16,1:3,5:1,0,PIS2,0.05
16,1:3,5:1,0,HVA1,0.04
16,1:3,5:1,0,PIS1,0.29
17,3:1,5:1,0,HVA3,0.36
17,3:1,5:1,0,HVA2,0.12
17,3:1,5:1,0,HVA1,0.21
17,3:1,5:1,0,PIS1,0.08
18,3:1,1:5,0,HVA1,0.87
18,3:1,1:5,0,HVA3,0.51
18,3:1,1:5,0,PIS1,0.09
18,3:1,1:5,0,HVA2,0.24
19,4:0,5:1,0,HVA4,0.44
19,4:0,5:1,0,HVA3,0.49
19,4:0,5:1,0,HVA2,0.34
19,4:0,5:1,0,HVA1,0.18
20,2:2,5:1,0,PIS2,0.09
20,2:2,5:1,0,PIS1,0.13
20,2:2,5:1,0,HVA2,0.21
20,2:2,5:1,0,HVA1,0.37
21,4:0,1:5,0,HVA1,0.52
21,4:0,1:5,0,HVA2,0.86
21,4:0,1:5,0,HVA3,0.45
21,4:0,1:5,0,HVA4,0.55
22,0:4,1:5,0,PIS1,0.12
22,0:4,1:5,0,PIS2,0.08
22,0:4,1:5,0,PIS3,0.25
22,0:4,1:5,0,PIS4,0.2
23,3:1,5:1,0,PIS1,0.05
23,3:1,5:1,0,HVA1,0.18
23,3:1,5:1,0,HVA2,0.35
23,3:1,5:1,0,HVA3,0.66
24,4:0,5:1,0,HVA2,0.3
24,4:0,5:1,0,HVA1,0.33
24,4:0,5:1,0,HVA4,0.55
24,4:0,5:1,0,HVA3,0
25,2:2,1:5,0,HVA2,0.68
25,2:2,1:5,0,HVA1,0.42
25,2:2,1:5,0,PIS1,0.18
25,2:2,1:5,0,PIS2,0.2
26,2:2,5:1,0,PIS1,0.04
26,2:2,5:1,0,HVA2,0.63
26,2:2,5:1,0,PIS2,0.16
26,2:2,5:1,0,HVA1,0.6
