BUCKET,HVA:PIS,SHADE,SPECIES,DRY MASS (g)
20,0:04,0,PIS1,0.48
20,0:04,0,PIS2,0.26
20,0:04,0,PIS3,0.06
20,0:04,0,PIS4,0.33
18,0:04,0,PIS1,0.39
18,0:04,0,PIS2,0.3
18,0:04,0,PIS3,0.5
18,0:04,0,PIS4,0.32
19,0:04,0,PIS1,0.32
19,0:04,0,PIS2,0.24
19,0:04,0,PIS3,0.28
19,0:04,0,PIS4,0.6
17,0:04,0,PIS1,0.16
17,0:04,0,PIS2,0.31
17,0:04,0,PIS3,0.12
17,0:04,0,PIS4,0.2
14,1:03,0,PIS1,0.23
14,1:03,0,PIS2,0.18
14,1:03,0,PIS3,0.05
14,1:03,0,HVA1,0.57
15,1:03,0,PIS1,0.14
15,1:03,0,PIS2,0.69
15,1:03,0,PIS3,0.16
15,1:03,0,HVA1,0.11
16,1:03,0,PIS1,0.17
16,1:03,0,PIS2,0.05
16,1:03,0,PIS3,0.02
16,1:03,0,HVA1,0.15
13,1:03,0,PIS1,0.8
13,1:03,0,PIS2,0.18
13,1:03,0,PIS3,0.2
13,1:03,0,HVA1,0.05
54,1:03,0,PIS1,0.14
54,1:03,0,PIS2,0.11
54,1:03,0,PIS3,0.04
54,1:03,0,HVA1,0.09
74,1:03,0,PIS1,0.24
74,1:03,0,PIS2,0.18
74,1:03,0,PIS3,0.21
74,1:03,0,HVA1,0.12
55,1:03,0,PIS1,0.24
55,1:03,0,PIS2,0.25
55,1:03,0,PIS3,0.38
55,1:03,0,HVA1,0.26
36,1:03,0,PIS1,0.98
36,1:03,0,PIS2,0.28
36,1:03,0,PIS3,0.11
36,1:03,0,HVA1,0.83
35,1:03,0,PIS1,0.2
35,1:03,0,PIS2,0.18
35,1:03,0,PIS3,0.16
35,1:03,0,HVA1,0
12,2:02,0,PIS1,0.23
12,2:02,0,PIS2,0.11
12,2:02,0,HVA1,0.22
12,2:02,0,HVA2,0.11
11,2:02,0,PIS1,0.32
11,2:02,0,PIS2,0.2
11,2:02,0,HVA1,0.14
11,2:02,0,HVA2,0.27
9,2:02,0,PIS1,0.47
9,2:02,0,PIS2,0.62
9,2:02,0,HVA1,0.83
9,2:02,0,HVA2,1.09
10,2:02,0,PIS1,0.21
10,2:02,0,PIS2,0.33
10,2:02,0,HVA1,0.33
10,2:02,0,HVA2,0.11
5,3:01,0,PIS1,0.21
5,3:01,0,HVA1,0.22
5,3:01,0,HVA2,0.1
5,3:01,0,HVA3,0.5
7,3:01,0,PIS1,0.22
7,3:01,0,HVA1,0.18
7,3:01,0,HVA2,0.1
7,3:01,0,HVA3,0.25
6,3:01,0,PIS1,1.43
6,3:01,0,HVA1,0.41
6,3:01,0,HVA2,0.41
6,3:01,0,HVA3,0.27
8,3:01,0,PIS1,0.48
8,3:01,0,HVA1,0.29
8,3:01,0,HVA2,0.24
8,3:01,0,HVA3,0.2
3,4:00,0,HVA1,0.64
3,4:00,0,HVA2,0.54
3,4:00,0,HVA3,0.89
3,4:00,0,HVA4,0.55
2,4:00,0,HVA1,0.15
2,4:00,0,HVA2,0.1
2,4:00,0,HVA3,0.11
2,4:00,0,HVA4,0.13
4,4:00,0,HVA1,0.39
4,4:00,0,HVA2,0.38
4,4:00,0,HVA3,0.55
4,4:00,0,HVA4,0.74
1,4:00,0,HVA1,0.3
1,4:00,0,HVA2,0.16
1,4:00,0,HVA3,0.28
1,4:00,0,HVA4,0.32
