BUCKET,HVA:PIS,N:P,SHADE,SPECIES,DRY MASS (g)
14,1:3,3:1,0,HVA 1,1.65
14,1:3,3:1,0,PIS 1,0.09
14,1:3,3:1,0,PIS 2,0.55
14,1:3,3:1,0,PIS 3,0.32
11,2:2,3:1,0,HVA 1,0.37
11,2:2,3:1,0,HVA 2,0.63
11,2:2,3:1,0,PIS 1,0
11,2:2,3:1,0,PIS 2,0.16
18,0:4,3:1,0,PIS 1,0.22
18,0:4,3:1,0,PIS 2,0.08
18,0:4,3:1,0,PIS 3,0.16
18,0:4,3:1,0,PIS 4,0.16
12,2:2,3:1,0,HVA 1,0.22
12,2:2,3:1,0,HVA 2,0.57
12,2:2,3:1,0,PIS 1,0.21
12,2:2,3:1,0,PIS 2,0.17
9,2:2,3:1,0,HVA 1,1.78
9,2:2,3:1,0,HVA 2,1.06
9,2:2,3:1,0,PIS 1,0.4
9,2:2,3:1,0,PIS 2,0.04
19,0:4,3:1,0,PIS 1,0
19,0:4,3:1,0,PIS 2,0.09
19,0:4,3:1,0,PIS 3,0.54
19,0:4,3:1,0,PIS 4,0
3,4:0,3:1,0,HVA 1,0.16
3,4:0,3:1,0,HVA 2,0.06
3,4:0,3:1,0,HVA 3,0.33
3,4:0,3:1,0,HVA 4,0.39
17,0:4,3:1,0,PIS 1,0.13
17,0:4,3:1,0,PIS 2,0.08
17,0:4,3:1,0,PIS 3,0.29
17,0:4,3:1,0,PIS 4,0.35
1,4:0,3:1,0,HVA 1,0.71
1,4:0,3:1,0,HVA 2,0.41
1,4:0,3:1,0,HVA 3,0.48
1,4:0,3:1,0,HVA 4,1.56
8,3:1,3:1,0,HVA 1,2.03
8,3:1,3:1,0,HVA 2,0.28
8,3:1,3:1,0,HVA 3,0.53
8,3:1,3:1,0,PIS 1,0.12
10,2:2,3:1,0,HVA 1,1.89
10,2:2,3:1,0,HVA 2,0.95
10,2:2,3:1,0,PIS 1,0.3
10,2:2,3:1,0,PIS 2,0.11
4,4:0,3:1,0,HVA 1,2
4,4:0,3:1,0,HVA 2,0.83
4,4:0,3:1,0,HVA 3,0.22
4,4:0,3:1,0,HVA 4,0.69
20,0:4,3:1,0,PIS 1,0.03
20,0:4,3:1,0,PIS 2,0.08
20,0:4,3:1,0,PIS 3,0.04
20,0:4,3:1,0,PIS 4,0.06
5,3:1,3:1,0,HVA 1,0.68
5,3:1,3:1,0,HVA 2,0.33
5,3:1,3:1,0,HVA 3,0.81
5,3:1,3:1,0,PIS 1,0.14
13,1:3,3:1,0,HVA 1,0.58
